Name,Last Candle,This Candle,% Change,Close,SMA 200,SMA 201,Bollinger Band Stretch,Chaikin AD Last,Chaikin AD Now,CCI,Bollinger Band Middleband,Chaikin AD Osc Last,MFI,Stop,EMA 5,MACD,MACD Histogram,Bollinger Band Upperband,SMA 50,Bollinger Band Lowerband,ADX,DI-,RSI,DI+,EMA 21,MACD Signal,Chaikin AD Osc Now
BTC-LSK,Green,Green,0.011195488,0.00035818,0.000407576,TRUE,0,-12229882.69,-12196762.03,300.7561923,0.000322808,22238.02881,75.6868744,0.00032761,0.000339221,4.75E-06,3.36E-06,0.000322808,0.000323597,0.000322808,31.77141894,8.858842353,70.23053285,41.85586527,0.000327101,1.39E-06,29364.35673
BTC-NEO,Green,Green,0.010431338,0.002272,0.002329146,TRUE,0,18924775.73,18925892.56,-44.1618817,0.002296173,223.3642561,40.74859768,0.00220005,0.002263631,1.31E-05,-1.30E-05,0.002296173,0.002193532,0.002296173,36.98305177,12.03829367,51.04892839,22.9019964,0.002268466,2.61E-05,2003.126125
BTC-ETH,Green,Red,-0.007744539,0.03436615,0.03297351,NOT,13.22307491,743408.2252,741721.8337,-95.74108974,0.035357789,-3723.487025,34.76482937,0.03363015,0.034537155,4.49E-06,-0.000210477,0.03755051,0.033837609,0.033165068,17.22263812,23.99339984,47.22108759,17.42706698,0.034861634,0.000214967,-3379.045768
BTC-STRAT,Green,Red,-0.006871014,0.00024305,0.000235989,NOT,0,-7574772.567,-7931917.981,210.365652,0.00022556,144976.0263,55.42152603,0.0002235,0.000231282,-1.19E-06,2.38E-06,0.00022556,0.000233112,0.00022556,19.52410499,12.36802829,62.1540482,24.69913977,0.000227301,-3.57E-06,49062.19196
BTC-XVG,Green,Green,0.011904762,1.68E-06,1.92665E-06,TRUE,0,-150715863.3,-152842504.3,80.43360434,1.62E-06,-2556588.942,52.91388612,1.59E-06,1.64E-06,-5.85E-09,8.02E-09,1.62E-06,1.67E-06,1.62E-06,33.79923431,9.121808919,54.5083454,32.3375511,1.63E-06,-1.39E-08,-2366091.325
BTC-STEEM,Red,Red,-0.018358936,0.00013345,0.000102181,NOT,0,-9865139.012,-10122916.92,116.1985498,0.00010472,605414.3745,72.94657034,0.00012285,0.000128763,1.17E-05,3.56E-06,0.00010472,9.41E-05,0.00010472,49.26836983,7.627431465,72.78453473,38.24284943,0.000109281,8.11E-06,489152.1599
BTC-ZEC,Green,Red,-0.005691324,0.01362249,0.016986035,TRUE,10.2564229,-361857.5291,-361682.5067,49.83863836,0.013273172,3286.463055,56.09647684,0.01260486,0.013121847,-0.000250561,3.35E-05,0.013920645,0.013805053,0.012625699,14.14048329,15.32885773,54.36651826,22.68295785,0.013302804,-0.000284024,4224.47459
BTC-SC,Green,Red,0,6.90E-07,8.026E-07,TRUE,0,-4699589856,-4719847710,323.0769231,6.32E-07,1113284.751,79.34055347,6.40E-07,6.52E-07,1.09E-09,6.52E-09,6.32E-07,6.46E-07,6.32E-07,17.93447073,9.366810216,65.50004817,29.24781044,6.36E-07,-5.43E-09,3554045.589
BTC-XLM,Green,Red,-0.017679558,2.71E-05,3.19305E-05,TRUE,0,-339439274.5,-340447306.6,185.8448575,2.29E-05,3861546.015,84.51272645,2.51E-05,2.54E-05,5.82E-07,6.36E-07,2.29E-05,2.33E-05,2.29E-05,29.16998391,6.793537465,72.93665067,35.07698224,2.34E-05,-5.36E-08,3899081.318
BTC-LTC,Green,Red,-0.002203891,0.014547,0.009125034,NOT,40.44282209,1715729.101,1714134.152,60.14436692,0.013067233,6062.712767,74.41624801,0.01370577,0.014344499,0.000861182,9.07E-05,0.01526516,0.011535082,0.010869306,52.18359802,11.96907305,68.61553458,30.03144672,0.01324266,0.000770465,6605.099634
USD-BTC,Green,Red,-0.000482171,3863.773,4901.470235,TRUE,9.308225137,-5153.672314,-5158.713756,35.24735131,3844.26415,242.0867667,43.83300138,3800,3865.585931,47.81357359,-3.471631168,4015.223873,3669.3655,3673.304427,16.33823062,19.68246915,54.76444574,18.42782263,3815.656486,51.28520476,251.3017893
BTC-EMC,Green,Green,0.023372741,7.36E-05,0.00012133,TRUE,0,-11291196.87,-11294255.84,113.4443074,7.42E-05,-76455.52358,80.47681966,7.14E-05,7.38E-05,-9.49E-07,1.20E-07,7.42E-05,7.71E-05,7.42E-05,30.48907761,9.454900444,45.34462327,35.2492855,7.47E-05,-1.07E-06,-84301.58198
BTC-CLOAK,Green,Red,-0.02798913,0.0001472,0.000318517,TRUE,0,-7255786.899,-7259620.009,-63.12868997,0.000151158,-72372.17757,66.93326747,0.00013643,0.00014849,-2.40E-05,5.36E-06,0.000151158,0.000239622,0.000151158,29.19580358,18.7508398,34.29747978,16.64843333,0.000167955,-2.94E-05,-55630.18891
BTC-RDD,Green,Red,-0.03125,3.20E-07,4.042E-07,TRUE,0,4914888659,4899378386,-25.45454545,3.19E-07,75250897.72,46.31979836,3.00E-07,3.18E-07,-3.25E-09,1.23E-09,3.19E-07,3.36E-07,3.19E-07,11.65084808,8.353451976,0,5.901319604,3.20E-07,-4.47E-09,83688543.35
